DATAFLOW,LAST UPDATE,freq,indic_env,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Investment,Million euro,Bulgaria,2015,316,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Investment,Million euro,Bulgaria,2016,303,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Investment,Million euro,Bulgaria,2017,379,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Investment,Million euro,Bulgaria,2018,409,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Investment,Million euro,Bulgaria,2019,425,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Investment,Million euro,Bulgaria,2020,308,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Investment,Million euro,Bulgaria,2021,433,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Investment,Million euro,Bulgaria,2022,408,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Investment,Million euro,Bulgaria,2023,422,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Investment,Million euro,Cyprus,2005,165,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Investment,Million euro,Cyprus,2006,157,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Investment,Million euro,Cyprus,2007,150,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Investment,Million euro,Cyprus,2008,158,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Investment,Million euro,Cyprus,2009,152,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Investment,Million euro,Cyprus,2010,142,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Investment,Million euro,Cyprus,2011,134,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Investment,Million euro,Cyprus,2012,122,,
